iter	Passed	Remaining
402	11172	2689
403	11198	2660
404	11222	2632
405	11245	2603
406	11277	2576
407	11311	2550
408	11336	2522
409	11360	2493
410	11391	2466
411	11420	2439
412	11446	2411
413	11471	2382
414	11496	2354
415	11522	2326
416	11549	2298
417	11574	2270
418	11605	2243
419	11632	2215
420	11667	2189
421	11697	2162
422	11732	2135
423	11759	2107
424	11789	2080
425	11825	2054
426	11851	2026
427	11876	1997
428	11907	1970
429	11933	1942
430	11957	1914
431	11984	1886
432	12014	1859
433	12041	1831
434	12075	1804
435	12103	1776
436	12132	1749
437	12162	1721
438	12196	1694
439	12233	1668
440	12266	1641
441	12298	1613
442	12342	1588
443	12414	1565
444	12481	1542
445	12527	1516
446	12556	1488
447	12593	1461
448	12622	1433
449	12650	1405
450	12680	1377
451	12705	1349
452	12732	1321
453	12759	1292
454	12791	1265
455	12820	1237
456	12849	1209
457	12875	1180
458	12904	1152
459	12939	1125
460	13133	1111
461	13207	1086
462	13244	1058
463	13268	1029
464	13295	1000
465	13324	972
466	13355	943
467	13382	915
468	13413	886
469	13443	858
470	13471	829
471	13498	800
472	13532	772
473	13563	743
474	13592	715
475	13622	686
476	13651	658
477	13682	629
478	13716	601
479	13748	572
480	13785	544
481	13818	516
482	13859	487
483	13899	459
484	13935	430
485	13965	402
486	14006	373
487	14039	345
488	14068	316
489	14106	287
490	14146	259
491	14176	230
492	14216	201
493	14254	173
494	14286	144
495	14323	115
496	14363	86
497	14400	57
498	14437	28
499	14469	0
