iter	MultiClass
0	1.357104761
1	1.331881995
2	1.309596781
3	1.2897479
4	1.271244843
5	1.255201884
6	1.239094674
7	1.225144812
8	1.212238072
9	1.200344128
10	1.18830194
11	1.177498644
12	1.16773134
13	1.15814815
14	1.149182779
15	1.141334344
16	1.134076884
17	1.126687136
18	1.119828786
19	1.113507291
20	1.107542349
21	1.10176818
22	1.096692864
23	1.091580153
24	1.087500972
25	1.082789816
26	1.078170094
27	1.074251253
28	1.070560077
29	1.0665786
30	1.063022471
31	1.059317525
32	1.056304934
33	1.053158304
34	1.050576442
35	1.047030817
36	1.044112287
37	1.041839666
38	1.039179174
39	1.036947613
40	1.034757068
41	1.032511568
42	1.03032256
43	1.027876986
44	1.026198754
45	1.024511825
46	1.02233666
47	1.020449763
48	1.018353554
49	1.016476131
50	1.014492405
51	1.012627641
52	1.011050092
53	1.009697587
54	1.008389507
55	1.006782531
56	1.005367381
57	1.003487226
58	1.002336084
59	1.000539232
60	0.9993115586
61	0.9983480376
62	0.997305812
63	0.9957716272
64	0.9946403508
65	0.9935100527
66	0.9923198713
67	0.991192132
68	0.9899737136
69	0.9891144378
70	0.9877421764
71	0.9868244204
72	0.9858193084
73	0.9849060862
74	0.9839708261
75	0.9827937176
76	0.9818866593
77	0.9808579972
78	0.979996486
79	0.9788599419
80	0.9778102067
81	0.9767557057
82	0.9757672944
83	0.9746281125
84	0.9738019549
85	0.9730538849
86	0.972033243
87	0.9713732558
88	0.9707347699
89	0.9698907346
90	0.9692847493
91	0.9687070575
92	0.9680862283
93	0.9672719664
94	0.9665414237
95	0.965807145
96	0.9652761057
97	0.9646870252
98	0.9638779131
99	0.963343867
100	0.9627604274
101	0.9619958198
102	0.9616364571
103	0.9610942751
104	0.9605463052
105	0.959880537
106	0.9595494617
107	0.9590650385
108	0.9585600109
109	0.9581320204
110	0.957693223
111	0.9571493142
112	0.9566061594
113	0.9560612824
114	0.9556609503
115	0.9552326833
116	0.9545522459
117	0.9540033266
118	0.9535249153
119	0.9531327992
120	0.9528092137
121	0.9523197674
122	0.9517624489
123	0.951194376
124	0.9507063364
125	0.9503800377
126	0.9500746155
127	0.9496191922
128	0.9492890062
129	0.9487852268
130	0.9484226345
131	0.9479116219
132	0.9474752619
133	0.9470712248
134	0.9465350415
135	0.9459216408
136	0.9455503023
137	0.9450927277
138	0.9447630339
139	0.9443944372
140	0.9439537079
141	0.9434443512
142	0.943096128
143	0.9429071853
144	0.9424880417
145	0.942121875
146	0.9418053974
147	0.9414096889
148	0.9411512523
149	0.9408102823
150	0.9405690926
151	0.9401586693
152	0.9399225842
153	0.9396912123
154	0.9393218007
155	0.9390455416
156	0.9386407344
157	0.9382908172
158	0.9381096581
159	0.9375831453
160	0.9373577102
161	0.9370813243
162	0.9368446341
163	0.9365662246
164	0.9361976958
165	0.9359484925
166	0.9357226382
167	0.9353289263
168	0.9349182719
169	0.9346931837
170	0.934362557
171	0.9340906157
172	0.9337590779
