iter	MultiClass
173	0.9334320937
174	0.9330556971
175	0.9328312349
176	0.9323881508
177	0.9319918054
178	0.9318630229
179	0.9315959951
180	0.931482358
181	0.9312373873
182	0.9309131336
183	0.9307683563
184	0.9304330032
185	0.9301267409
186	0.9299474863
187	0.9297280597
188	0.9294838448
189	0.9292707559
190	0.9291179355
191	0.9288534704
192	0.928712249
193	0.9284646704
194	0.9282992985
195	0.928076656
196	0.9277859383
197	0.9276487283
198	0.9273564338
199	0.9271781927
200	0.9269237662
201	0.9267822597
202	0.9265777448
203	0.9263684377
204	0.9261806439
205	0.9259361945
206	0.925795542
207	0.9256070306
208	0.9253674004
209	0.9252221895
210	0.925013653
211	0.9247183173
212	0.9244734317
213	0.9243167379
214	0.9241077103
215	0.9239484835
216	0.9235218131
217	0.9232908781
218	0.9231661954
219	0.9229358421
220	0.9227855671
221	0.9224177877
222	0.9222992343
223	0.9221300787
224	0.922013249
225	0.9217771354
226	0.9215429009
227	0.9213210463
228	0.9211197698
229	0.9207974181
230	0.920623278
231	0.9204065186
232	0.9201911724
233	0.9199748025
234	0.919817195
235	0.9196265039
236	0.9194973125
237	0.9192524458
238	0.9190719506
239	0.9188544326
240	0.9186574323
241	0.9184386279
242	0.9181600964
243	0.9179285712
244	0.9177921646
245	0.9175408016
246	0.9173908334
247	0.9171193701
248	0.9168049632
249	0.9165431222
250	0.9163505471
251	0.916107286
252	0.9159945011
253	0.9158126251
254	0.9155668327
255	0.9153747559
256	0.9152134635
257	0.9149302931
258	0.91473506
259	0.9144950336
260	0.9143292229
261	0.9140775199
262	0.9138742634
263	0.9136730951
264	0.9134426171
265	0.9132741531
266	0.9131106094
267	0.9128892012
268	0.9126163656
269	0.9122354896
270	0.9120066201
271	0.9118419511
272	0.9115860426
273	0.9114041495
274	0.911223047
275	0.9109928894
276	0.9108598235
277	0.9106547397
278	0.9104626128
279	0.9102881788
280	0.9101181081
281	0.9099138379
282	0.9097252901
283	0.9095583464
284	0.9094302536
285	0.9092544208
286	0.9090468592
287	0.908917052
288	0.9087486699
289	0.9086306994
290	0.9084198368
291	0.9082683845
292	0.9079632198
293	0.9077054079
294	0.9075242907
295	0.9073555809
296	0.9072022531
297	0.9070256438
298	0.9068661074
299	0.9067010113
300	0.9065081213
301	0.9063328104
302	0.906138838
303	0.9059672754
304	0.9058157276
305	0.905597092
306	0.9053551998
307	0.9051242838
308	0.9049136295
309	0.9047457737
310	0.9045464923
311	0.9043277413
312	0.9040810855
313	0.9039325387
314	0.903828625
315	0.9036991672
316	0.9035862312
317	0.9034319042
318	0.9032720313
319	0.903071112
320	0.9029049051
321	0.9026054677
322	0.9024225757
323	0.9021871302
324	0.9021026958
325	0.901929096
326	0.9017894653
327	0.9016596861
328	0.9014945111
329	0.9013677518
330	0.9012277419
331	0.9011082915
332	0.9009997262
333	0.9008218511
334	0.9006569419
335	0.9004542699
336	0.9002770287
337	0.9001224459
338	0.8999856743
339	0.899830972
340	0.8997459622
341	0.8996102272
342	0.8994654939
343	0.899327067
344	0.8992601773
345	0.8991509463
346	0.8990489126
347	0.8989072446
348	0.8988185217
349	0.8986977629
350	0.8985892372
351	0.8983901432
352	0.8982814767
353	0.898176466
354	0.8980497791
355	0.8977950247
356	0.897664452
357	0.8975087997
358	0.8973496437
359	0.8972286374
360	0.897079357
361	0.8969481372
362	0.8968607615
363	0.8967012075
364	0.8965046698
365	0.8963931188
366	0.8962808616
367	0.8961454191
368	0.8960171449
369	0.8958553423
370	0.8956841962
371	0.8955461002
372	0.8954415042
373	0.895205163
374	0.8950485738
375	0.894922452
376	0.8947674166
377	0.8946848261
378	0.8945582745
379	0.8943845153
380	0.8942669617
381	0.8941280324
382	0.894023352
383	0.8939404039
384	0.8938417917
385	0.8937187499
386	0.893595171
387	0.8934134797
388	0.8932592743
389	0.8930650807
390	0.8929433877
391	0.8927808801
392	0.8927053458
393	0.8925424086
394	0.8924314259
395	0.8923174803
396	0.8921915041
397	0.892085356
398	0.8919545385
399	0.8918486492
400	0.8917385863
401	0.8916167939
402	0.8915012216
403	0.8913817012
404	0.8912698728
405	0.8911577309
406	0.8909845205
407	0.8908200033
408	0.8906986374
409	0.8906107863
410	0.8904631672
411	0.8903994023
412	0.890275736
413	0.8901561583
414	0.8900694311
415	0.889935212
416	0.8897675848
417	0.8896347103
418	0.8894712515
419	0.8893580947
420	0.8892361649
421	0.8891508788
422	0.8890273601
423	0.8889787095
424	0.8888599967
425	0.8887490505
426	0.888630111
427	0.8885573573
428	0.8883850515
429	0.8883042343
430	0.8881848098
431	0.8880821035
432	0.887995293
433	0.8878663109
434	0.8877361581
435	0.8876599534
436	0.8875155502
437	0.8873931257
438	0.887323165
439	0.8872180953
440	0.8870590496
441	0.8869688079
442	0.8868730548
443	0.8867390319
444	0.8866638812
445	0.8865636151
446	0.886444786
447	0.8863682794
448	0.8862746051
449	0.8861530108
450	0.8860158428
451	0.8859146651
452	0.8858338349
453	0.8857303783
454	0.8855946155
455	0.8854354223
456	0.8853645952
457	0.8852787106
458	0.8851845201
459	0.8850863764
460	0.8849168792
461	0.8848563947
462	0.8847227765
463	0.8846747796
464	0.8845644205
465	0.8844877425
466	0.8843983338
467	0.8843205584
468	0.8842659185
469	0.8841521377
470	0.883975079
471	0.883856484
472	0.8837258459
473	0.8835957921
474	0.8835173067
475	0.8834076366
476	0.8833275585
477	0.8831968746
478	0.8831300714
479	0.8829986443
480	0.8828659006
481	0.8827736222
482	0.8826887464
483	0.882583996
484	0.8825282182
485	0.882431369
486	0.8823281786
487	0.8822162117
488	0.8821119524
489	0.8819916382
490	0.8818343111
491	0.8817966245
492	0.8816828542
493	0.8816260034
494	0.8815520895
495	0.8815042263
496	0.881398822
497	0.8813037209
498	0.8812291681
499	0.8811150895
