model,accuracy,precision,recall,f1,auc_roc,pr_auc
Logistic Regression (L2),0.3644792159701534,0.3353176340132481,0.9958401941242742,0.5017027593433462,0.7662464403997953,0.6647772201515121
XGBoost (tuned-recall),0.46139711000361944,0.3725342913128674,0.988560533841754,0.5411418676913589,0.8431251378477116,0.7339524175343572
XGBoost (tuned-F1),0.47445499345713726,0.37792419553425843,0.9842274027212063,0.5461408992546285,0.8391049136114289,0.7293880395877337
XGBoost (default),0.49686777848929475,0.3868565093882076,0.967761504463125,0.5527533721074125,0.8144281975786354,0.7005433990716239
Random Forest,0.5965420274521814,0.44011198571776355,0.9400294652916197,0.5995301920685366,0.8301871420638705,0.7113512698669838
Decision Tree,0.5719854108082524,0.4120480822169205,0.7783170118727792,0.5388330583470826,0.6295592714000526,0.39504103976708715
Baseline (prior att),0.6695158281593674,0.4896929687986548,0.6814282000173325,0.5698651978547615,0.7823538235155829,0.566760173933977
Logistic (ElasticNet),0.5465100091878498,0.37673259616882104,0.6289106508362943,0.47120316862541395,0.5875206225437813,0.4033380445422476
