threshold,precision,recall,f1,flagged,flagged_pct
0.1,0.32217351241169406,0.999913337377589,0.4873289406994425,35813,99.71044352256591
0.15,0.3239159739384408,0.9995666868879453,0.48927821494474727,35608,99.13968315839297
0.2,0.32640873970509154,0.9994800242655343,0.49210616146100017,35333,98.37402901133167
0.25,0.3296816452618632,0.9988733859086576,0.49574193548387097,34961,97.33830776512515
0.3,0.3346600813480535,0.9982667475517809,0.5012728736482517,34420,95.83205724308823
0.35,0.3408478241549901,0.9971401334604385,0.5080360296714942,33757,93.98613469944594
0.4,0.34915037845396235,0.9954068810122194,0.5169682239625529,32897,91.59172536681794
0.45,0.3603572439384886,0.9930669902071236,0.5288199732336517,31799,88.53467717236963
0.5,0.3725342913128674,0.988560533841754,0.5411418676913589,30620,85.25210902915055
0.55,0.3870483980913429,0.9841407400987954,0.5555908901881161,29340,81.68833699919259
0.6,0.40543948126801155,0.9753878152352891,0.5727881116567851,27760,77.28930589971323
0.65,0.428087334899303,0.9634283733425774,0.592780206889197,25969,72.30280925467049
0.7,0.45582211819777646,0.945142560013866,0.6150289017341041,23926,66.61469499122978
